https://www.cdc.gov/tobacco/campaign/tips/quit-smoking/guide/secondhand-smoke.html + https://www.cdc.gov/tobacco/basic_information/health_effects/index.htm + https://www.cdc.gov/tobacco/basic_information/secondhand_smoke/index.htm	https://www.cityofhope.org/blog/10-common-myths-about-smoking-debunked + https://www.cdc.gov/tobacco/data_statistics/sgr/2010/myths/pdfs/myths.pdf		https://www.cdc.gov/tobacco/campaign/tips/quit-smoking/guide/secondhand-smoke.html + https://www.cdc.gov/tobacco/basic_information/secondhand_smoke/index.htm	https://www.cdc.gov/tobacco/data_statistics/sgr/2010/myths/pdfs/myths.pdf		https://www.cdc.gov/tobacco/basic_information/health_effects/index.htm + https://www.cdc.gov/tobacco/data_statistics/fact_sheets/health_effects/effects_cig_smoking/index.htm + https://www.cdc.gov/tobacco/campaign/tips/diseases/vision-loss-blindness.html	https://www.cityofhope.org/blog/10-common-myths-about-smoking-debunked		https://www.cdc.gov/tobacco/quit_smoking/how_to_quit/benefits/index.htm	https://www.cityofhope.org/blog/10-common-myths-about-smoking-debunked + https://www.cdc.gov/tobacco/data_statistics/sgr/2010/myths/pdfs/myths.pdf		https://www.cdc.gov/tobacco/quit_smoking/how_to_quit/benefits/index.htm	
Because their bodies are still growing, infants and young children are especially vulnerable to health risks from secondhand smoke.	None		Get rid of all ashtrays and tobacco products in your home.	None					Quiting smoking may reduce the risk of atrial fibrillation, sudden cardiac death, heart failure, venous thromboembolism, and peripheral arterial disease (PAD).	None			
Babies who breathe secondhand smoke are more likely to die unexpectedly from sudden infant death syndrome (SIDS), also called crib death, than babies who are not exposed to smoke from burning tobacco products.	None		Don’t let anyone smoke in or around your house. If you have children or if you take care of children in your home, do not allow anyone to smoke there. Do not let babysitters or family and friends smoke around your children.	None					Quiting smoking after a diagnosis of coronary heart disease reduces the risk of premature death.	None			
Babies exposed to secondhand smoke in the womb or after birth are born and grow up with weaker lungs than babies that are not exposed to secondhand smoke.	None		Don’t let anyone smoke in your car, even with the windows down. Putting the windows down does not protect people from secondhand smoke	None					Quiting smoking after a diagnosis of coronary heart disease reduces the risk of death from heart disease,	None			
Babies and children who breathe secondhand smoke are sick more often with bronchitis, pneumonia, and ear infections than those that are not exposed to secondhand smoke.	None		Make sure smoking is not allowed at your child’s day care.	None					Quiting smoking after a diagnosis of coronary heart disease reduces the risk of having a first heart attack or another heart attack.	None			
For children with asthma, breathing secondhand smoke can trigger an asthma attack.	None		Protecting the people in your home also means not using other types of tobacco products, including e-cigarettes. The aerosol from e-cigarettes is not harmless. It can contain cancer-causing chemicals, heavy metals like nickel, tin, and lead, among other things.	None					Quiting smoking reduces respiratory symptoms (e.g., cough, sputum production, wheezing).	None			
			Protecting the people in your home also means not using other types of tobacco products, including e-cigarettes. E-cigarettes are not safe for children, teens, young adults, pregnant adults, or people who do not already use tobacco.	None					Quiting smoking reduces respiratory infections (e.g. bronchitis, pneumonia).	None			
									Quiting smoking may improve lung function, reduce symptoms, and improve treatment outcomes among persons with asthma.	None			
									Quiting smoking reduces the risk of 12 different cancers.	None			
									Quiting smoking reduces the risk of acute myeloid leukemia (AML).	None			
									Quiting smoking reduces the risk of cancer of the bladder, lung, cervix, colon and rectum, esophagus, kidney and liver.	None			
									Quiting smoking reduces the risk of  cancer of the mouth and throat, the pancreas, stomach and voice box.	None			
									For cancer survivors, quitting smoking may improve prognosis and reduce risk of premature death.	None			
									Quiting smoking before pregnancy or early in pregnancy reduces the risk for a small-for-gestational-age baby.	None			
									Quiting smoking during pregnancy reduces the risk of delivering a low birth weight baby.	None			
									Quiting smoking early in pregnancy eliminates the adverse effects of smoking on fetal growth.	None			
									Quiting smoking before pregnancy or early in pregnancy may reduce the risk of preterm delivery.	None			
